scheme,scheme_id,outer_fold,aria,target,segments,present_classes,global_class_uar,present_class_uar,global_class_macro_f1,present_class_macro_f1,accuracy
MuQ,muq_multitask,0,Che gelida manina,back_placement,849,3,0.36617988404778207,0.36617988404778207,0.36465596421382535,0.36465596421382535,0.6301531213191991
MuQ,muq_multitask,0,Che gelida manina,breathiness,849,2,0.5200742240215924,0.5200742240215924,0.5181173391796396,0.5181173391796396,0.8457008244994111
MuQ,muq_multitask,0,Che gelida manina,chest_resonance,849,4,0.30578550486538636,0.30578550486538636,0.3021539907450132,0.3021539907450132,0.4994110718492344
MuQ,muq_multitask,0,Che gelida manina,front_placement,849,3,0.33664418650884675,0.33664418650884675,0.32377437563643,0.32377437563643,0.6325088339222615
MuQ,muq_multitask,0,Che gelida manina,head_resonance,849,4,0.3317677403311606,0.3317677403311606,0.32011321507644136,0.32011321507644136,0.464075382803298
MuQ,muq_multitask,0,Che gelida manina,open_throat,849,4,0.3036537272586106,0.3036537272586106,0.30584552902724305,0.30584552902724305,0.5901060070671378
MuQ,muq_multitask,0,Che gelida manina,vibrato,849,3,0.34637722088795847,0.34637722088795847,0.33854774767250045,0.33854774767250045,0.5618374558303887
MuQ,muq_multitask,1,E lucevan le stelle,back_placement,283,3,0.3632014623318971,0.3632014623318971,0.35615269246318976,0.35615269246318976,0.6148409893992933
MuQ,muq_multitask,1,E lucevan le stelle,breathiness,283,2,0.5116344005956813,0.5116344005956813,0.4531735355264767,0.4531735355264767,0.7208480565371025
MuQ,muq_multitask,1,E lucevan le stelle,chest_resonance,283,4,0.33127147766323023,0.33127147766323023,0.3191114359974009,0.3191114359974009,0.49469964664310956
MuQ,muq_multitask,1,E lucevan le stelle,front_placement,283,3,0.3905002101723413,0.3905002101723413,0.3813089543915867,0.3813089543915867,0.6395759717314488
MuQ,muq_multitask,1,E lucevan le stelle,head_resonance,283,3,0.29133074935400516,0.3884409991386735,0.2935910104388365,0.39145468058511534,0.5159010600706714
MuQ,muq_multitask,1,E lucevan le stelle,open_throat,283,4,0.3365417320774463,0.3365417320774463,0.336130652105914,0.336130652105914,0.558303886925795
MuQ,muq_multitask,1,E lucevan le stelle,vibrato,283,3,0.3376267143709004,0.3376267143709004,0.3350306351562202,0.3350306351562202,0.696113074204947
MuQ,muq_multitask,2,Nessun dorma,back_placement,606,3,0.3658401438174701,0.3658401438174701,0.3669293618781673,0.3669293618781673,0.5957095709570958
MuQ,muq_multitask,2,Nessun dorma,breathiness,606,2,0.5374633431085044,0.5374633431085044,0.5392665474060823,0.5392665474060823,0.7755775577557755
MuQ,muq_multitask,2,Nessun dorma,chest_resonance,606,4,0.3712257712257712,0.3712257712257712,0.35636380471085727,0.35636380471085727,0.4933993399339934
MuQ,muq_multitask,2,Nessun dorma,front_placement,606,3,0.3672154880502527,0.3672154880502527,0.37170183435743603,0.37170183435743603,0.6666666666666666
MuQ,muq_multitask,2,Nessun dorma,head_resonance,606,4,0.3173796398654938,0.3173796398654938,0.3063566917624997,0.3063566917624997,0.4389438943894389
MuQ,muq_multitask,2,Nessun dorma,open_throat,606,4,0.33962272330451215,0.33962272330451215,0.3049633033772508,0.3049633033772508,0.5676567656765676
MuQ,muq_multitask,2,Nessun dorma,vibrato,606,3,0.34694730556799525,0.34694730556799525,0.33786160203991916,0.33786160203991916,0.6105610561056105
MuQ,muq_multitask,3,Una furtiva lagrima,back_placement,1231,3,0.3739586258541608,0.3739586258541608,0.3630487399017828,0.3630487399017828,0.7676685621445979
MuQ,muq_multitask,3,Una furtiva lagrima,breathiness,1231,2,0.49522820412058605,0.49522820412058605,0.4917106176266482,0.4917106176266482,0.8066612510154346
MuQ,muq_multitask,3,Una furtiva lagrima,chest_resonance,1231,4,0.30297470328004183,0.30297470328004183,0.2888927734654601,0.2888927734654601,0.4662875710804224
MuQ,muq_multitask,3,Una furtiva lagrima,front_placement,1231,3,0.39598767406649177,0.39598767406649177,0.3611774315407868,0.3611774315407868,0.8489033306255077
MuQ,muq_multitask,3,Una furtiva lagrima,head_resonance,1231,4,0.2976062394550713,0.2976062394550713,0.28829957643899207,0.28829957643899207,0.4435418359057677
MuQ,muq_multitask,3,Una furtiva lagrima,open_throat,1231,4,0.29079293089060526,0.29079293089060526,0.2719740747955364,0.2719740747955364,0.6791226645004061
MuQ,muq_multitask,3,Una furtiva lagrima,vibrato,1231,3,0.35264738494109293,0.35264738494109293,0.3407362435926036,0.3407362435926036,0.536961819658814
MuQ,muq_multitask,4,Vesti la giubba,back_placement,262,3,0.27670056827882245,0.27670056827882245,0.2790780599666784,0.2790780599666784,0.4618320610687023
MuQ,muq_multitask,4,Vesti la giubba,breathiness,262,2,0.9329501915708812,0.9329501915708812,0.4910927354459182,0.4910927354459182,0.8664122137404581
MuQ,muq_multitask,4,Vesti la giubba,chest_resonance,262,3,0.3385964912280701,0.4514619883040935,0.3214456233421751,0.42859416445623344,0.5725190839694656
MuQ,muq_multitask,4,Vesti la giubba,front_placement,262,3,0.36863011401743795,0.36863011401743795,0.3501941491632213,0.3501941491632213,0.5801526717557252
MuQ,muq_multitask,4,Vesti la giubba,head_resonance,262,3,0.36432622787334834,0.4857683038311311,0.3359103260869565,0.44788043478260864,0.5992366412213741
MuQ,muq_multitask,4,Vesti la giubba,open_throat,262,3,0.33900408878504673,0.4520054517133956,0.2780401027689415,0.3707201370252553,0.5343511450381679
MuQ,muq_multitask,4,Vesti la giubba,vibrato,262,3,0.2842377260981912,0.2842377260981912,0.30428769017980634,0.30428769017980634,0.8396946564885496
MuQ,muq_multitask,5,La donna e mobile,back_placement,225,2,0.2845860566448802,0.4268790849673203,0.28465608465608466,0.426984126984127,0.5155555555555555
MuQ,muq_multitask,5,La donna e mobile,breathiness,225,2,0.47297297297297297,0.47297297297297297,0.4827586206896552,0.4827586206896552,0.9333333333333333
MuQ,muq_multitask,5,La donna e mobile,chest_resonance,225,3,0.1456959706959707,0.19426129426129427,0.16873015873015873,0.22497354497354496,0.4488888888888889
MuQ,muq_multitask,5,La donna e mobile,front_placement,225,2,0.3738738738738739,0.5608108108108109,0.30689041444190185,0.46033562166285275,0.7822222222222223
MuQ,muq_multitask,5,La donna e mobile,head_resonance,225,3,0.34048423423423424,0.453978978978979,0.17805367383075846,0.2374048984410113,0.37333333333333335
MuQ,muq_multitask,5,La donna e mobile,open_throat,225,3,0.3167539561229995,0.4223386081639993,0.2577423492761591,0.34365646570154545,0.52
MuQ,muq_multitask,5,La donna e mobile,vibrato,225,3,0.4140350877192982,0.4140350877192982,0.330379746835443,0.330379746835443,0.7911111111111111
Adjusted MuQ,muq_multitask_inner_prior_adjusted,0,Che gelida manina,back_placement,849,3,0.38618361495293835,0.38618361495293835,0.36041125660594137,0.36041125660594137,0.4911660777385159
Adjusted MuQ,muq_multitask_inner_prior_adjusted,0,Che gelida manina,breathiness,849,2,0.5512445644024592,0.5512445644024592,0.5533987878391845,0.5533987878391845,0.8103651354534747
Adjusted MuQ,muq_multitask_inner_prior_adjusted,0,Che gelida manina,chest_resonance,849,4,0.3122370785843616,0.3122370785843616,0.3012591610651091,0.3012591610651091,0.4287396937573616
Adjusted MuQ,muq_multitask_inner_prior_adjusted,0,Che gelida manina,front_placement,849,3,0.3339299923388885,0.3339299923388885,0.32074592074592073,0.32074592074592073,0.4534746760895171
Adjusted MuQ,muq_multitask_inner_prior_adjusted,0,Che gelida manina,head_resonance,849,4,0.3317677403311606,0.3317677403311606,0.32011321507644136,0.32011321507644136,0.464075382803298
Adjusted MuQ,muq_multitask_inner_prior_adjusted,0,Che gelida manina,open_throat,849,4,0.3036537272586106,0.3036537272586106,0.30584552902724305,0.30584552902724305,0.5901060070671378
Adjusted MuQ,muq_multitask_inner_prior_adjusted,0,Che gelida manina,vibrato,849,3,0.34637722088795847,0.34637722088795847,0.33854774767250045,0.33854774767250045,0.5618374558303887
Adjusted MuQ,muq_multitask_inner_prior_adjusted,1,E lucevan le stelle,back_placement,283,3,0.3775323149236192,0.3775323149236192,0.37672655852061804,0.37672655852061804,0.5724381625441696
Adjusted MuQ,muq_multitask_inner_prior_adjusted,1,E lucevan le stelle,breathiness,283,2,0.5144887068751551,0.5144887068751551,0.46968189705031815,0.46968189705031815,0.7137809187279152
Adjusted MuQ,muq_multitask_inner_prior_adjusted,1,E lucevan le stelle,chest_resonance,283,4,0.34875242790975647,0.34875242790975647,0.3459785032112076,0.3459785032112076,0.508833922261484
Adjusted MuQ,muq_multitask_inner_prior_adjusted,1,E lucevan le stelle,front_placement,283,3,0.3795712484237075,0.3795712484237075,0.3727931610686583,0.3727931610686583,0.5971731448763251
Adjusted MuQ,muq_multitask_inner_prior_adjusted,1,E lucevan le stelle,head_resonance,283,3,0.29291989664082685,0.3905598621877691,0.31330976018858514,0.4177463469181135,0.44876325088339225
Adjusted MuQ,muq_multitask_inner_prior_adjusted,1,E lucevan le stelle,open_throat,283,4,0.3365417320774463,0.3365417320774463,0.336130652105914,0.336130652105914,0.558303886925795
Adjusted MuQ,muq_multitask_inner_prior_adjusted,1,E lucevan le stelle,vibrato,283,3,0.3376267143709004,0.3376267143709004,0.3350306351562202,0.3350306351562202,0.696113074204947
Adjusted MuQ,muq_multitask_inner_prior_adjusted,2,Nessun dorma,back_placement,606,3,0.3587730972959393,0.3587730972959393,0.35865025624395885,0.35865025624395885,0.5495049504950495
Adjusted MuQ,muq_multitask_inner_prior_adjusted,2,Nessun dorma,breathiness,606,2,0.5612719941348974,0.5612719941348974,0.5612719941348974,0.5612719941348974,0.7392739273927392
Adjusted MuQ,muq_multitask_inner_prior_adjusted,2,Nessun dorma,chest_resonance,606,4,0.3712257712257712,0.3712257712257712,0.35636380471085727,0.35636380471085727,0.4933993399339934
Adjusted MuQ,muq_multitask_inner_prior_adjusted,2,Nessun dorma,front_placement,606,3,0.4009603320836574,0.4009603320836574,0.3279336800824059,0.3279336800824059,0.400990099009901
Adjusted MuQ,muq_multitask_inner_prior_adjusted,2,Nessun dorma,head_resonance,606,4,0.3384862329716104,0.3384862329716104,0.3193974699179843,0.3193974699179843,0.41089108910891087
Adjusted MuQ,muq_multitask_inner_prior_adjusted,2,Nessun dorma,open_throat,606,4,0.3162458591946806,0.3162458591946806,0.27488959773477706,0.27488959773477706,0.4537953795379538
Adjusted MuQ,muq_multitask_inner_prior_adjusted,2,Nessun dorma,vibrato,606,3,0.46749763646315373,0.46749763646315373,0.4219431714418447,0.4219431714418447,0.5495049504950495
Adjusted MuQ,muq_multitask_inner_prior_adjusted,3,Una furtiva lagrima,back_placement,1231,3,0.3739586258541608,0.3739586258541608,0.3630487399017828,0.3630487399017828,0.7676685621445979
Adjusted MuQ,muq_multitask_inner_prior_adjusted,3,Una furtiva lagrima,breathiness,1231,2,0.44866109021501155,0.44866109021501155,0.3890385706182643,0.3890385706182643,0.5223395613322502
Adjusted MuQ,muq_multitask_inner_prior_adjusted,3,Una furtiva lagrima,chest_resonance,1231,4,0.3405330420523282,0.3405330420523282,0.2668198123258899,0.2668198123258899,0.29731925264013
Adjusted MuQ,muq_multitask_inner_prior_adjusted,3,Una furtiva lagrima,front_placement,1231,3,0.39598767406649177,0.39598767406649177,0.3611774315407868,0.3611774315407868,0.8489033306255077
Adjusted MuQ,muq_multitask_inner_prior_adjusted,3,Una furtiva lagrima,head_resonance,1231,4,0.31922015085284927,0.31922015085284927,0.2802127507955741,0.2802127507955741,0.3379366368805849
Adjusted MuQ,muq_multitask_inner_prior_adjusted,3,Una furtiva lagrima,open_throat,1231,4,0.29079293089060526,0.29079293089060526,0.2719740747955364,0.2719740747955364,0.6791226645004061
Adjusted MuQ,muq_multitask_inner_prior_adjusted,3,Una furtiva lagrima,vibrato,1231,3,0.39262614690423786,0.39262614690423786,0.3362169017458713,0.3362169017458713,0.4841592201462226
Adjusted MuQ,muq_multitask_inner_prior_adjusted,4,Vesti la giubba,back_placement,262,3,0.22500426818858077,0.22500426818858077,0.20069391631073308,0.20069391631073308,0.22137404580152673
Adjusted MuQ,muq_multitask_inner_prior_adjusted,4,Vesti la giubba,breathiness,262,2,0.9329501915708812,0.9329501915708812,0.4910927354459182,0.4910927354459182,0.8664122137404581
Adjusted MuQ,muq_multitask_inner_prior_adjusted,4,Vesti la giubba,chest_resonance,262,3,0.3092105263157895,0.41228070175438597,0.27290348490312427,0.3638713132041657,0.46946564885496184
Adjusted MuQ,muq_multitask_inner_prior_adjusted,4,Vesti la giubba,front_placement,262,3,0.3728185781354796,0.3728185781354796,0.3374577417173766,0.3374577417173766,0.4847328244274809
Adjusted MuQ,muq_multitask_inner_prior_adjusted,4,Vesti la giubba,head_resonance,262,3,0.3840127150336574,0.5120169533782098,0.27222659831355484,0.36296879775140645,0.38549618320610685
Adjusted MuQ,muq_multitask_inner_prior_adjusted,4,Vesti la giubba,open_throat,262,3,0.33900408878504673,0.4520054517133956,0.2780401027689415,0.3707201370252553,0.5343511450381679
Adjusted MuQ,muq_multitask_inner_prior_adjusted,4,Vesti la giubba,vibrato,262,3,0.2571059431524548,0.2571059431524548,0.28778018799710775,0.28778018799710775,0.7595419847328244
Adjusted MuQ,muq_multitask_inner_prior_adjusted,5,La donna e mobile,back_placement,225,2,0.22058823529411764,0.33088235294117646,0.25364968842339314,0.3804745326350897,0.36
Adjusted MuQ,muq_multitask_inner_prior_adjusted,5,La donna e mobile,breathiness,225,2,0.45045045045045046,0.45045045045045046,0.47058823529411764,0.47058823529411764,0.8888888888888888
Adjusted MuQ,muq_multitask_inner_prior_adjusted,5,La donna e mobile,chest_resonance,225,3,0.15036630036630036,0.20048840048840047,0.14540979414397134,0.19387972552529512,0.21333333333333335
Adjusted MuQ,muq_multitask_inner_prior_adjusted,5,La donna e mobile,front_placement,225,2,0.3738738738738739,0.5608108108108109,0.30689041444190185,0.46033562166285275,0.7822222222222223
Adjusted MuQ,muq_multitask_inner_prior_adjusted,5,La donna e mobile,head_resonance,225,3,0.34048423423423424,0.453978978978979,0.17805367383075846,0.2374048984410113,0.37333333333333335
Adjusted MuQ,muq_multitask_inner_prior_adjusted,5,La donna e mobile,open_throat,225,3,0.2786032188455314,0.37147095846070854,0.25918895892393995,0.3455852785652533,0.48
Adjusted MuQ,muq_multitask_inner_prior_adjusted,5,La donna e mobile,vibrato,225,3,0.5716108452950559,0.5716108452950559,0.41934736588824634,0.41934736588824634,0.7288888888888889
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,0,Che gelida manina,back_placement,849,3,0.42445358295589175,0.42445358295589175,0.2862766147790302,0.2862766147790302,0.3133097762073027
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,0,Che gelida manina,breathiness,849,2,0.5355000749737592,0.5355000749737592,0.48345773030287714,0.48345773030287714,0.6171967020023557
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,0,Che gelida manina,chest_resonance,849,4,0.3150140161389761,0.3150140161389761,0.3203046915978109,0.3203046915978109,0.4994110718492344
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,0,Che gelida manina,front_placement,849,3,0.3332971572326796,0.3332971572326796,0.3331919718762258,0.3331919718762258,0.5594817432273262
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,0,Che gelida manina,head_resonance,849,4,0.3789430010335647,0.3789430010335647,0.3334305301178988,0.3334305301178988,0.3934040047114252
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,0,Che gelida manina,open_throat,849,4,0.2752574793848332,0.2752574793848332,0.2637782158353392,0.2637782158353392,0.6018845700824499
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,0,Che gelida manina,vibrato,849,3,0.35249305054720376,0.35249305054720376,0.3505706428731603,0.3505706428731603,0.5488810365135454
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,1,E lucevan le stelle,back_placement,283,3,0.4191252121686904,0.4191252121686904,0.3915084018635296,0.3915084018635296,0.508833922261484
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,1,E lucevan le stelle,breathiness,283,2,0.5132477041449491,0.5132477041449491,0.49690363163961004,0.49690363163961004,0.6784452296819788
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,1,E lucevan le stelle,chest_resonance,283,4,0.440351860152398,0.440351860152398,0.3437017589730549,0.3437017589730549,0.4381625441696113
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,1,E lucevan le stelle,front_placement,283,3,0.41474008687123437,0.41474008687123437,0.37766042188363197,0.37766042188363197,0.42402826855123676
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,1,E lucevan le stelle,head_resonance,283,3,0.3098449612403101,0.4131266149870801,0.3222413657196266,0.42965515429283546,0.4876325088339223
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,1,E lucevan le stelle,open_throat,283,4,0.39843014128728416,0.39843014128728416,0.3830065876398013,0.3830065876398013,0.5618374558303887
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,1,E lucevan le stelle,vibrato,283,3,0.35050685748360166,0.35050685748360166,0.3493688000125768,0.3493688000125768,0.7173144876325088
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,2,Nessun dorma,back_placement,606,3,0.36305359124979725,0.36305359124979725,0.3635183125912422,0.3635183125912422,0.5379537953795379
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,2,Nessun dorma,breathiness,606,2,0.552291055718475,0.552291055718475,0.5355299902865469,0.5355299902865469,0.6666666666666666
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,2,Nessun dorma,chest_resonance,606,4,0.4192008442008442,0.4192008442008442,0.32404241822795116,0.32404241822795116,0.3910891089108911
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,2,Nessun dorma,front_placement,606,3,0.402871652184603,0.402871652184603,0.3605530839689545,0.3605530839689545,0.47194719471947194
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,2,Nessun dorma,head_resonance,606,4,0.3219224984134908,0.3219224984134908,0.29963254211842194,0.29963254211842194,0.45544554455445546
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,2,Nessun dorma,open_throat,606,4,0.36950558485511664,0.36950558485511664,0.2627153909685579,0.2627153909685579,0.37623762376237624
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,2,Nessun dorma,vibrato,606,3,0.34846992088371403,0.34846992088371403,0.33033583876711115,0.33033583876711115,0.6353135313531353
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,3,Una furtiva lagrima,back_placement,1231,3,0.3703164756239736,0.3703164756239736,0.3179614997796816,0.3179614997796816,0.7871649065800163
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,3,Una furtiva lagrima,breathiness,1231,2,0.4870880817380565,0.4870880817380565,0.41317424455133167,0.41317424455133167,0.5572705117790414
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,3,Una furtiva lagrima,chest_resonance,1231,4,0.3547840907073174,0.3547840907073174,0.2907599434784755,0.2907599434784755,0.3322502030869212
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,3,Una furtiva lagrima,front_placement,1231,3,0.4291605356876293,0.4291605356876293,0.3538132391555728,0.3538132391555728,0.7717303005686433
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,3,Una furtiva lagrima,head_resonance,1231,4,0.31906954749661,0.31906954749661,0.30863736700569305,0.30863736700569305,0.44191714053614944
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,3,Una furtiva lagrima,open_throat,1231,4,0.2716524451963933,0.2716524451963933,0.25694750085174134,0.25694750085174134,0.5320877335499594
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,3,Una furtiva lagrima,vibrato,1231,3,0.3754645401831027,0.3754645401831027,0.3228218636257613,0.3228218636257613,0.4606011372867587
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,4,Vesti la giubba,back_placement,262,3,0.2822126289602693,0.2822126289602693,0.2791245791245791,0.2791245791245791,0.5
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,4,Vesti la giubba,breathiness,262,2,0.896551724137931,0.896551724137931,0.46016483516483514,0.46016483516483514,0.7938931297709924
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,4,Vesti la giubba,chest_resonance,262,3,0.2982456140350877,0.39766081871345027,0.2614071011861067,0.3485428015814756,0.4732824427480916
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,4,Vesti la giubba,front_placement,262,3,0.332290409121395,0.332290409121395,0.3274969474969475,0.3274969474969475,0.5229007633587787
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,4,Vesti la giubba,head_resonance,262,3,0.36107734978808276,0.48143646638411036,0.3011956306004984,0.4015941741339979,0.48854961832061067
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,4,Vesti la giubba,open_throat,262,3,0.41019275700934577,0.5469236760124611,0.2830342363689502,0.3773789818252669,0.46564885496183206
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,4,Vesti la giubba,vibrato,262,3,0.27260981912144705,0.27260981912144705,0.2980225988700565,0.2980225988700565,0.8053435114503816
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,5,La donna e mobile,back_placement,225,2,0.10947712418300654,0.1642156862745098,0.14683985426896878,0.22025978140345318,0.17333333333333334
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,5,La donna e mobile,breathiness,225,2,0.42567567567567566,0.42567567567567566,0.45652173913043476,0.45652173913043476,0.84
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,5,La donna e mobile,chest_resonance,225,3,0.2185897435897436,0.2914529914529915,0.22438030560271646,0.29917374080362197,0.6044444444444445
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,5,La donna e mobile,front_placement,225,2,0.3978978978978979,0.5968468468468469,0.3258749282845668,0.48881239242685026,0.8533333333333334
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,5,La donna e mobile,head_resonance,225,3,0.37762762762762764,0.5035035035035035,0.1865110383218773,0.24868138442916973,0.3111111111111111
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,5,La donna e mobile,open_throat,225,3,0.2791651681352275,0.37222022418030337,0.2742812374216549,0.36570831656220654,0.4622222222222222
Adjusted fusion,mert_muq_multitask_posterior_0p5_inner_prior_adjusted,5,La donna e mobile,vibrato,225,3,0.5413078149920255,0.5413078149920255,0.4046821652712256,0.4046821652712256,0.7244444444444444
